title_dgs,title_pf,artist_pf,artist_dgs,year,genre_1,genre_2,format_1,label,score,publish_date,reviewer,,,,
Various - After Dark 2,After Dark 2,Various Artists,<Artist 194 u'Various'>,2013,Electronic,,Vinyl, Italians Do It Better,8.3,2013-05-31,Andrew Gaerig,,,,
Tricky - False Idols,False Idols,Tricky,<Artist 3140 u'Tricky'>,2013,Electronic,,Vinyl, K7,6.7,2013-05-31,Nate Patrin,,,,
Classixx - Hanging Gardens,Hanging Gardens,Classixx,<Artist 1063712 u'Classixx'>,2013,Electronic,Pop,Vinyl, Innovative Leisure,7.8,2013-05-31,Larry Fitzmaurice,,,,
Sean Nicholas Savage - Other Life,Other Life,Sean Nicholas Savage,<Artist 1324762 u'Sean Nicholas Savage'>,2013,Rock,Pop,Vinyl, Arbutus,7.4,2013-05-31,Jamieson Cox,,,,
Jenny Hval - Innocence Is Kinky,Innocence Is Kinky,Jenny Hval,<Artist 713862 u'Jenny Hval'>,2013,Rock,Pop,Vinyl, Rune Grammofon,7.8,2013-05-31,Stephen M. Deusner,,,,
Eluvium - Nightmare Ending,Nightmare Ending,Eluvium,<Artist 138187 u'Eluvium'>,2013,Electronic,,CD, Temporary Residence,7.8,2013-05-30,Brian Howe,,,,
Agrimonia - Rites Of Separation,Rites of Separation,Agrimonia,<Artist 1558151 u'Agrimonia'>,2013,Rock,,Vinyl, Southern Lord,8,2013-05-30,Kim Kelly,,,,
Human Eye - 4: Into Unknown,4: Into Unknown,Human Eye,<Artist 1016379 u'Human Eye'>,2013,Rock,,Vinyl, Goner,6.7,2013-05-30,Evan Minsker,,,,
The-Dream - IV Play (Deluxe Version),IV Play,The-Dream,<Artist 1008036 u'The-Dream'>,2013,Hip Hop,,CD, Def Jam,6.9,2013-05-29,Andrew Ryce,,,,
CocoRosie - Tales Of A GrassWidow,Tales of a Grass Widow,CocoRosie,<Artist 204103 u'CocoRosie'>,2013,Electronic,"Folk, World, & Country",CD, City Slang,6.7,2013-05-29,Brian Howe,,,,
King Tuff - Was Dead,Was Dead,King Tuff,<Artist 1031345 u'King Tuff'>,2008,Rock,,Vinyl, Burger,8.4,2013-05-29,Evan Minsker,,,,
Still Corners - Strange Pleasures,Strange Pleasures,Still Corners,<Artist 1542544 u'Still Corners'>,2013,Electronic,Rock,Vinyl, Sub Pop,6.6,2013-05-29,Ian Cohen,,,,
Mount Kimbie - Cold Spring Fault Less Youth,Cold Spring Fault Less Youth,Mount Kimbie,<Artist 1354476 u'Mount Kimbie'>,2013,Electronic,,Vinyl, Warp,7.7,2013-05-29,Andrew Gaerig,,,,
Baths - Obsidian,Obsidian,Baths,<Artist 1819667 u'Baths'>,2013,Electronic,Pop,Vinyl, Anticon,8.6,2013-05-28,Ian Cohen,,,,
"Pastels, The - Slow Summits",Slow Summits,The Pastels,"<Artist 2805 u'Pastels, The'>",2013,Pop,,Vinyl, Domino,7.9,2013-05-28,Mike Powell,,,,
Kingdom (6) - Vertical XL,Vertical XL EP,Kingdom,<Artist 1669764 u'Kingdom (6)'>,2013,Electronic,Hip Hop,CD, Fade to Mind,8.2,2013-05-28,Nate Patrin,,,,
When Saints Go Machine - Infinity Pool,Infinity Pool,When Saints Go Machine,<Artist 1191739 u'When Saints Go Machine'>,2013,Pop,,Vinyl, K7,5.5,2013-05-28,Stuart Berman,,,,
Four Tet - Rounds,Rounds,Four Tet,<Artist 3543 u'Four Tet'>,2003,Electronic,,Vinyl, Domino,8.9,2013-05-24,Andy Beta,,,,
Pure X - Crawling Up The Stairs,Crawling Up The Stairs,Pure X,<Artist 2201835 u'Pure X'>,2013,Rock,,Vinyl, Acéphale,7,2013-05-24,Harley Brown,,,,
Saturday Looks Good To Me - One Kiss Ends It All,One Kiss Ends It All,Saturday Looks Good to Me,<Artist 305643 u'Saturday Looks Good To Me'>,2013,Rock,Pop,Vinyl, Polyvinyl,7,2013-05-24,Paul Thompson,,,,
Dean Blunt - The Redeemer,The Redeemer,Dean Blunt,<Artist 2419343 u'Dean Blunt'>,2013,Electronic,,Vinyl, Hippos in Tanks / World Music,6.1,2013-05-24,Nick Neyland,,,,
Xenia Rubinos - Magic Trix,Magic Trix,Xenia Rubinos,<Artist 3302609 u'Xenia Rubinos'>,2013,Rock,,Vinyl, Ba Da Bing!,7.8,2013-05-24,Laura Snapes,,,,
Dirty Beaches - Drifters / Love Is The Devil,Drifters / Love Is The Devil,Dirty Beaches,<Artist 1352332 u'Dirty Beaches'>,2013,Electronic,Rock,Vinyl, Zoo Music,8.4,2013-05-23,Larry Fitzmaurice,,,,
Glenn Jones (2) - My Garden State,My Garden State,Glenn Jones,<Artist 565009 u'Glenn Jones (2)'>,2013,Rock,Blues,Vinyl, Thrill Jockey,7.7,2013-05-23,Grayson Currin,,,,
Source Family - The Source Family,The Source Family,The Source Family,<Artist 1045843 u'Source Family'>,2013,Rock,,Vinyl, Drag City,6.6,2013-05-23,Stuart Berman,,,,
Songs: Ohia - Hecla & Griper,Hecla & Griper EP,Songs: Ohia,<Artist 337276 u'Songs: Ohia'>,1997,Rock,,Vinyl, Secretly Canadian,7.4,2013-05-22,Stephen M. Deusner,,,,
Tree (17) - Sunday School II: When Church Lets Out,Sunday School II: When Church Lets Out,Tree,<Artist 3093200 u'Tree (17)'>,2013,Hip Hop,,Vinyl, Creative Control,7.7,2013-05-22,Miles Raymer,,,,
MS MR - Secondhand Rapture,Secondhand Rapture,MS MR,<Artist 2769572 u'MS MR'>,2013,Electronic,Rock,Vinyl, Columbia,6,2013-05-22,Laura Snapes,,,,
Octo Octa - Between Two Selves,Between Two Selves,Octo Octa,<Artist 2406747 u'Octo Octa'>,2013,Electronic,,Vinyl, 100% Silk,7.4,2013-05-22,Angus Finlayson,,,,
"National, The - Trouble Will Find Me",Trouble Will Find Me,The National,"<Artist 261537 u'National, The'>",2013,Rock,,Vinyl, 4AD,8.4,2013-05-21,Ian Cohen,,,,
Shannon And The Clams - Dreams In The Rat House,Dreams in the Rat House,Shannon and the Clams,<Artist 1805557 u'Shannon And The Clams'>,2013,Rock,,Vinyl, Hardly Art,7.1,2013-05-21,Martin Douglas,,,,
Secret Circuit - Tactile Galactics,Tactile Galactics,Secret Circuit,<Artist 1459455 u'Secret Circuit'>,2013,Electronic,,Vinyl, Beats in Space,7.3,2013-05-21,Nick Neyland,,,,
Daft Punk - Random Access Memories,Random Access Memories,Daft Punk,<Artist 1289 u'Daft Punk'>,2013,Electronic,Funk / Soul,Vinyl, Columbia,8.8,2013-05-20,Mark Richardson,,,,
Laura Mvula - Sing To The Moon,Sing to the Moon,Laura Mvula,<Artist 3015895 u'Laura Mvula'>,2013,Pop,,Vinyl, RCA,7.4,2013-05-20,Jonah Bromwich,,,,
Scout Niblett - It's Up To Emma,It's Up To Emma,Scout Niblett,<Artist 311646 u'Scout Niblett'>,2013,Rock,"Folk, World, & Country",Vinyl, Drag City,7.6,2013-05-20,Jessica Hopper,,,,
Daniel Menche - Marriage Of Metals,Marriage of Metals,Daniel Menche,<Artist 73368 u'Daniel Menche'>,2013,Electronic,,Vinyl, Editions Mego,8.3,2013-05-20,Grayson Currin,,,,
Mark Lanegan & Duke Garwood - Black Pudding,Black Pudding,Mark Lanegan & Duke Garwood,<Artist 190551 u'Mark Lanegan'>,2013,Rock,Blues,Vinyl, Ipecac,6.7,2013-05-17,Steven Hyden,,,,
Cathedral - The Last Spire,The Last Spire,Cathedral,<Artist 57915 u'Cathedral'>,2013,Rock,,Vinyl, Rise Above,7.5,2013-05-17,Grayson Currin,,,,
Artificial Memory Trace - Implodex Tremoranti,Tectonic Plates Vol. 4,Various Artists,<Artist 537 u'Artificial Memory Trace'>,2013,Electronic,Non-Music,CD, Tectonic,7,2013-05-17,Angus Finlayson,,,,
"Fall, The - Re-Mit",Re-Mit,The Fall,"<Artist 2228 u'Fall, The'>",2013,Rock,,Vinyl, Cherry Red,6.8,2013-05-16,Stuart Berman,,,,
Pharmakon - Abandon,Abandon,Pharmakon,<Artist 1446288 u'Pharmakon'>,2013,Electronic,,Vinyl, Sacred Bones,8,2013-05-16,Nick Neyland,,,,
Dungeonesse - Dungeonesse,Dungeonesse,Dungeonesse,<Artist 3057087 u'Dungeonesse'>,2013,Electronic,Pop,Vinyl, Secretly Canadian,7.7,2013-05-16,Lindsay Zoladz,,,,
Slava (2) - Raw Solutions,Raw Solutions,Slava,<Artist 1138698 u'Slava (2)'>,2013,Electronic,Hip Hop,Vinyl, Software,7.8,2013-05-16,Miles Raymer,,,,
John Grant - Pale Green Ghosts,Pale Green Ghosts,John Grant,<Artist 179556 u'John Grant'>,2013,Electronic,Rock,Vinyl, Bella Union / Partisan,7,2013-05-16,Jessica Hopper,,,,
Bibio - Silver Wilkinson,Silver Wilkinson,Bibio,<Artist 267474 u'Bibio'>,2013,Electronic,"Folk, World, & Country",Vinyl, Warp,6.2,2013-05-15,Ian Cohen,,,,
Gun Outfit - Hard Coming Down,Hard Coming Down,Gun Outfit,<Artist 1370804 u'Gun Outfit'>,2013,Rock,,Vinyl, PPM,8,2013-05-15,Jenn Pelly,,,,
Sadgiqacea - False Prism,False Prism,Sadgiqacea,<Artist 2793788 u'Sadgiqacea'>,2013,Rock,,Vinyl, Candlelight,6.5,2013-05-15,Kim Kelly,,,,
Wild Nothing - Empty Estate,Empty Estate EP,Wild Nothing,<Artist 1771611 u'Wild Nothing'>,2013,Electronic,Rock,Vinyl, Bella Union / Captured Tracks,6.6,2013-05-14,Ian Cohen,,,,
R.E.M. - Green,Green: 25th Anniversary Deluxe Edition,R.E.M.,<Artist 74500 u'R.E.M.'>,2013,Rock,,CD, Rhino,8.4,2013-05-14,Stephen M. Deusner,,,,
ADULT. - The Way Things Fall,The Way Things Fall,ADULT.,<Artist 3718 u'ADULT.'>,2013,Electronic,,Vinyl, Ghostly,7.7,2013-05-14,Miles Raymer,,,,
Svengalisghost - Mind Control,Mind Control,Uncle Acid and the Deadbeats,<Artist 2640145 u'Svengalisghost'>,2013,Electronic,,Vinyl, Rise Above,6.8,2013-05-14,Andy O'Connor,,,,
Patrick Vian - Bruits Et Temps Analogues,Bruits et Temps Analogues,Patrick Vian,<Artist 769563 u'Patrick Vian'>,1976,Electronic,Jazz,Vinyl, Staubgold,7.2,2013-05-14,Nick Neyland,,,,
