Origin,Q1,Q2,Q3,Q4,Total
Syrian Arab Rep.,9473.00,9497.00,15685.00,21696.00,56351.00
Russian Federation,8126.00,16551.00,9819.00,5283.00,39779.00
Afghanistan,9758.00,9687.00,9367.00,9841.00,38653.00
Iraq,6911.00,7568.00,10535.00,13157.00,38171.00
Serbia and Kosovo,5522.00,10311.00,9540.00,9287.00,34660.00
Pakistan,5589.00,7516.00,7381.00,5824.00,26310.00
Islamic Rep. of Iran,6524.00,7054.00,5278.00,5023.00,23879.00
Somalia,4485.00,5583.00,6966.00,6037.00,23071.00
Eritrea,2976.00,2830.00,7896.00,8135.00,21837.00
China,4686.00,5376.00,5240.00,4868.00,20170.00
Nigeria,3322.00,3413.00,3995.00,4154.00,14884.00
Stateless,1902.00,1880.00,4175.00,4016.00,11973.00
Albania,2276.00,2642.00,2640.00,3720.00,11278.00
Sri Lanka,3429.00,3568.00,1796.00,1762.00,10555.00
Egypt,1795.00,1992.00,3090.00,2907.00,9784.00
Bangladesh,1707.00,2978.00,2725.00,2249.00,9659.00
Mexico,2830.00,2964.00,2171.00,1446.00,9411.00
Georgia,2341.00,2045.00,2334.00,2380.00,9100.00
Algeria,2126.00,2744.00,2228.00,1744.00,8842.00
Dem. Rep. of the Congo,2078.00,2072.00,2062.00,2319.00,8531.00
The former Yugoslav Republic of Macedonia,898.00,1339.00,2615.00,2879.00,7731.00
Mali,2174.00,2041.00,1932.00,1450.00,7597.00
Turkey,1956.00,1624.00,1361.00,1514.00,6455.00
Guinea,1519.00,1483.00,1673.00,1671.00,6346.00
Morocco,1333.00,1711.00,1533.00,1313.00,5890.00
India,1370.00,1562.00,1617.00,1323.00,5872.00
Bosnia and Herzegovina,909.00,835.00,1739.00,2247.00,5730.00
El Salvador,1352.00,1756.00,1363.00,460.00,4931.00
Armenia,1319.00,1189.00,1039.00,1313.00,4860.00
Sudan,984.00,1050.00,1150.00,1400.00,4584.00
Tunisia,1310.00,1263.00,907.00,990.00,4470.00
Guatemala,1201.00,1398.00,1145.00,677.00,4421.00
Ethiopia,889.00,959.00,1355.00,1181.00,4384.00
Gambia,815.00,944.00,1148.00,1436.00,4343.00
Haiti,939.00,987.00,820.00,828.00,3574.00
Senegal,643.00,644.00,936.00,1223.00,3446.00
Ghana,612.00,745.00,806.00,815.00,2978.00
Cote d'Ivoire,766.00,800.00,749.00,636.00,2951.00
Honduras,755.00,987.00,823.00,280.00,2845.00
Cameroon,678.00,732.00,686.00,693.00,2789.00
Other,15588.00,15557.00,18932.91,23400.47,73478.38
