county,year
EU (28 countries),508191116
EU (27 countries),503965800
Euro area (19 countries),338335120
Euro area (18 countries),335413858
Euro area (17 countries),
Belgium,11258434
Bulgaria,7202198
Czech Republic,10538275
Denmark,5659715
Germany,81174000
Estonia,1313271
Ireland,4625885
Greece,10812467
Spain,46439864
France,66352469
France (metropolitan),
Croatia,4225316
Italy,60795612
Cyprus,847008
Latvia,1986096
Lithuania,2921262
Luxembourg,562958
Hungary,9849000
Malta,429344
Netherlands,16900726
Austria,8584926
Poland,38005614
Portugal,10374822
Romania,19861408
Slovenia,2062874
Slovakia,5421349
Finland,5471753
Sweden,9747355
United Kingdom,64767115
Iceland,329100
Liechtenstein,37369
Norway,5165802
Switzerland,8236573
Montenegro,622099
"Former Yugoslav Republic of Macedonia, the",2069172
Albania,2893005
Serbia,7111973
Turkey,77695904
Andorra,
Belarus,9480868
Bosnia and Herzegovina,3825334
Kosovo (under United Nations Security Council Resolution 1244/99),1804944
Moldova,3555159
Monaco,
Russia,146267288
San Marino,32789
Ukraine,
Armenia,
Azerbaijan,9593038
Georgia,
