TIME,GEO,CITIZEN,SEX,AGE,ASYL_APP,UNIT,Value
2015M01,European Union (28 countries),Extra EU-28,Total,Total,Asylum applicant,Person,66110.00
2015M01,European Union (28 countries),Extra EU-28,Total,Total,First time applicant,Person,60215.00
2015M01,European Union (28 countries),Syria,Total,Total,Asylum applicant,Person,11390.00
2015M01,European Union (28 countries),Syria,Total,Total,First time applicant,Person,11110.00
2015M01,Belgium,Extra EU-28,Total,Total,Asylum applicant,Person,1715.00
2015M01,Belgium,Extra EU-28,Total,Total,First time applicant,Person,1210.00
2015M01,Belgium,Syria,Total,Total,Asylum applicant,Person,275.00
2015M01,Belgium,Syria,Total,Total,First time applicant,Person,265.00
2015M01,Bulgaria,Extra EU-28,Total,Total,Asylum applicant,Person,1070.00
2015M01,Bulgaria,Extra EU-28,Total,Total,First time applicant,Person,1055.00
2015M01,Bulgaria,Syria,Total,Total,Asylum applicant,Person,595.00
2015M01,Bulgaria,Syria,Total,Total,First time applicant,Person,590.00
2015M01,Czech Republic,Extra EU-28,Total,Total,Asylum applicant,Person,125.00
2015M01,Czech Republic,Extra EU-28,Total,Total,First time applicant,Person,95.00
2015M01,Czech Republic,Syria,Total,Total,Asylum applicant,Person,5.00
2015M01,Czech Republic,Syria,Total,Total,First time applicant,Person,5.00
2015M01,Denmark,Extra EU-28,Total,Total,Asylum applicant,Person,640.00
2015M01,Denmark,Extra EU-28,Total,Total,First time applicant,Person,630.00
2015M01,Denmark,Syria,Total,Total,Asylum applicant,Person,315.00
2015M01,Denmark,Syria,Total,Total,First time applicant,Person,315.00
2015M01,Germany (until 1990 former territory of the FRG),Extra EU-28,Total,Total,Asylum applicant,Person,25030.00
2015M01,Germany (until 1990 former territory of the FRG),Extra EU-28,Total,Total,First time applicant,Person,21675.00
2015M01,Germany (until 1990 former territory of the FRG),Syria,Total,Total,Asylum applicant,Person,5530.00
2015M01,Germany (until 1990 former territory of the FRG),Syria,Total,Total,First time applicant,Person,5340.00
2015M01,Estonia,Extra EU-28,Total,Total,Asylum applicant,Person,5.00
2015M01,Estonia,Extra EU-28,Total,Total,First time applicant,Person,5.00
2015M01,Estonia,Syria,Total,Total,Asylum applicant,Person,0.00
2015M01,Estonia,Syria,Total,Total,First time applicant,Person,0.00
2015M01,Ireland,Extra EU-28,Total,Total,Asylum applicant,Person,215.00
