"TIME","GEO","S_ADJ","AGE","SEX","Value","Flag and Footnotes"
"2005","Belgium","Not seasonally adjusted data","Total","Total","8.5",""
"2005","Belgium","Not seasonally adjusted data","Total","Males","7.6",""
"2005","Belgium","Not seasonally adjusted data","Total","Females","9.5",""
"2005","Belgium","Not seasonally adjusted data","Less than 25 years","Total","21.5",""
"2005","Belgium","Not seasonally adjusted data","Less than 25 years","Males","21.0",""
"2005","Belgium","Not seasonally adjusted data","Less than 25 years","Females","22.1",""
"2005","Belgium","Not seasonally adjusted data","From 25 to 74 years","Total","7.1",""
"2005","Belgium","Not seasonally adjusted data","From 25 to 74 years","Males","6.2",""
"2005","Belgium","Not seasonally adjusted data","From 25 to 74 years","Females","8.2",""
"2005","Bulgaria","Not seasonally adjusted data","Total","Total","10.1",""
"2005","Bulgaria","Not seasonally adjusted data","Total","Males","10.3",""
"2005","Bulgaria","Not seasonally adjusted data","Total","Females","10.0",""
"2005","Bulgaria","Not seasonally adjusted data","Less than 25 years","Total","21.0",""
"2005","Bulgaria","Not seasonally adjusted data","Less than 25 years","Males","22.0",""
"2005","Bulgaria","Not seasonally adjusted data","Less than 25 years","Females","19.7",""
"2005","Bulgaria","Not seasonally adjusted data","From 25 to 74 years","Total","9.0",""
"2005","Bulgaria","Not seasonally adjusted data","From 25 to 74 years","Males","9.0",""
"2005","Bulgaria","Not seasonally adjusted data","From 25 to 74 years","Females","9.0",""
"2005","Czech Republic","Not seasonally adjusted data","Total","Total","7.9",""
"2005","Czech Republic","Not seasonally adjusted data","Total","Males","6.5",""
"2005","Czech Republic","Not seasonally adjusted data","Total","Females","9.8",""
"2005","Czech Republic","Not seasonally adjusted data","Less than 25 years","Total","19.3",""
"2005","Czech Republic","Not seasonally adjusted data","Less than 25 years","Males","19.4",""
"2005","Czech Republic","Not seasonally adjusted data","Less than 25 years","Females","19.1",""
"2005","Czech Republic","Not seasonally adjusted data","From 25 to 74 years","Total","6.8",""
"2005","Czech Republic","Not seasonally adjusted data","From 25 to 74 years","Males","5.1",""
"2005","Czech Republic","Not seasonally adjusted data","From 25 to 74 years","Females","9.0",""
"2005","Denmark","Not seasonally adjusted data","Total","Total","4.8",""
"2005","Denmark","Not seasonally adjusted data","Total","Males","4.4",""
"2005","Denmark","Not seasonally adjusted data","Total","Females","5.3",""
"2005","Denmark","Not seasonally adjusted data","Less than 25 years","Total","8.6",""
"2005","Denmark","Not seasonally adjusted data","Less than 25 years","Males",":",""
"2005","Denmark","Not seasonally adjusted data","Less than 25 years","Females",":",""
"2005","Denmark","Not seasonally adjusted data","From 25 to 74 years","Total","4.2",""
"2005","Denmark","Not seasonally adjusted data","From 25 to 74 years","Males",":",""
"2005","Denmark","Not seasonally adjusted data","From 25 to 74 years","Females",":",""
"2005","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","11.2","i"
"2005","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Males","11.4","i"
"2005","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Females","10.9","i"
"2005","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Less than 25 years","Total","15.4","i"
"2005","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Less than 25 years","Males","16.6","i"
"2005","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Less than 25 years","Females","14.0","i"
"2005","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","From 25 to 74 years","Total","10.6","i"
"2005","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","From 25 to 74 years","Males","10.7","i"
"2005","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","From 25 to 74 years","Females","10.5","i"
"2005","Estonia","Not seasonally adjusted data","Total","Total","8.0",""
"2005","Estonia","Not seasonally adjusted data","Total","Males","9.2",""
"2005","Estonia","Not seasonally adjusted data","Total","Females","6.9",""
"2005","Estonia","Not seasonally adjusted data","Less than 25 years","Total","15.1",""
"2005","Estonia","Not seasonally adjusted data","Less than 25 years","Males","16.1",""
