"","x"
"1","TX-180"
"2","TX-180"
"3","TX-180"
"4","TX-180"
"5","TX-180"
"6","TX-180"
"7","TX-180"
"8","TX-180"
"9","TX-180"
"10","TX-180"
"11","TX-180"
"12","TX-180"
"13","TX-180"
"14","TX-180"
"15","TX-180"
"16","MI-300"
"17","MI-300"
"18","MI-300"
"19","MI-300"
"20","MI-300"
"21","OH-420"
"22","OH-420"
"23","OH-420"
"24","OH-420"
"25","OH-420"
"26","OH-420"
"27","OH-420"
"28","OH-420"
"29","OH-420"
"30","OH-420"
"31","NM-460"
"32","NM-460"
"33","NM-460"
"34","NM-460"
"35","NM-460"
"36","GA-500"
"37","GA-500"
"38","GA-500"
"39","GA-500"
"40","GA-500"
"41","GA-500"
"42","GA-500"
"43","GA-500"
"44","GA-500"
"45","GA-500"
"46","GA-500"
"47","GA-500"
"48","GA-500"
"49","GA-500"
"50","GA-500"
"51","GA-500"
"52","GA-500"
"53","GA-500"
"54","GA-500"
"55","GA-500"
"56","GA-500"
"57","GA-500"
"58","GA-500"
"59","GA-500"
"60","GA-500"
"61","OR-540"
"62","OR-540"
"63","OR-540"
"64","OR-540"
"65","OR-540"
"66","NY-580"
"67","NY-580"
"68","NY-580"
"69","NY-580"
"70","NY-580"
"71","NY-580"
"72","NY-580"
"73","NY-580"
"74","NY-580"
"75","NY-580"
"76","NY-580"
"77","NY-580"
"78","NY-580"
"79","NY-580"
"80","NY-580"
"81","NY-580"
"82","NY-580"
"83","NY-580"
"84","NY-580"
"85","NY-580"
"86","NY-580"
"87","NY-580"
"88","NY-580"
"89","NY-580"
"90","NY-580"
"91","NC-620"
"92","NC-620"
"93","NC-620"
"94","NC-620"
"95","NC-620"
"96","MN-660"
"97","MN-660"
"98","MN-660"
"99","MN-660"
"100","MN-660"
"101","NM-740"
"102","NM-740"
"103","NM-740"
"104","NM-740"
"105","NM-740"
"106","NM-740"
"107","NM-740"
"108","NM-740"
"109","NM-740"
"110","NM-740"
"111","NM-740"
"112","NM-740"
"113","NM-740"
"114","NM-740"
"115","NM-740"
"116","NM-740"
"117","NM-740"
"118","NM-740"
"119","NM-740"
"120","NM-740"
"121","LA-780"
"122","LA-780"
"123","LA-780"
"124","LA-780"
"125","LA-780"
"126","LA-780"
"127","LA-780"
"128","LA-780"
"129","LA-780"
"130","LA-780"
"131","PA-900"
"132","PA-900"
"133","PA-900"
"134","PA-900"
"135","PA-900"
"136","PA-900"
"137","PA-900"
"138","PA-900"
"139","PA-900"
"140","PA-900"
"141","NJ-900"
"142","NJ-900"
"143","NJ-900"
"144","NJ-900"
"145","NJ-900"
"146","PA-900"
"147","PA-900"
"148","PA-900"
"149","PA-900"
"150","PA-900"
"151","PA-020"
"152","PA-020"
"153","PA-020"
"154","PA-020"
"155","PA-020"
"156","TX-100"
"157","TX-100"
"158","TX-100"
"159","TX-100"
"160","TX-100"
"161","TX-100"
"162","TX-100"
"163","TX-100"
"164","TX-100"
"165","TX-100"
